OBJECTID,PLAN_ID,ES_HOME,MS_HOME,HS_HOME,PHASEOUT,STUDNT_POP,GR0_POP,GR1_POP,GR2_POP,GR3_POP,GR4_POP,GR5_POP,GR6_POP,GR7_POP,GR8_POP,GR9_POP,GR10_POP,GR11_POP,GR12_POP,ESPROJ0,MSPROJ0,HSPROJ0,ESPROJ1,MSPROJ1,HSPROJ1,ESPROJ2,MSPROJ2,HSPROJ2,ESPROJ3,MSPROJ3,HSPROJ3,ESPROJ4,MSPROJ4,HSPROJ4,ESPROJ5,MSPROJ5,HSPROJ5,ESPROJ6,MSPROJ6,HSPROJ6,ESPROJ7,MSPROJ7,HSPROJ7,ESPROJ8,MSPROJ8,HSPROJ8,SFD1,SFD2,SFD3,SFD4,SFD5,SFD6,SFD7,SFD8,SFA1,SFA2,SFA3,SFA4,SFA5,SFA6,SFA7,SFA8,APT1,APT2,APT3,APT4,APT5,APT6,APT7,APT8,KSPROJ0,KSPROJ1,KSPROJ2,KSPROJ3,KSPROJ4,KSPROJ5,KSPROJ6,KSPROJ7,KSPROJ8,SFD9,SFD10,SFD11,SFD12,SFD13,SFD14,SFD15,SFA9,SFA10,SFA11,SFA12,SFA13,SFA14,SFA15,APT9,APT10,APT11,APT12,APT13,APT14,APT15,KSPROJ9,ESPROJ9,MSPROJ9,HSPROJ9,KSPROJ10,ESPROJ10,MSPROJ10,HSPROJ10,KSPROJ11,ESPROJ11,MSPROJ11,HSPROJ11,KSPROJ12,ESPROJ12,MSPROJ12,HSPROJ12,KSPROJ13,ESPROJ13,MSPROJ13,HSPROJ13,KSPROJ14,ESPROJ14,MSPROJ14,HSPROJ14,DONE
,247,Lisbon ES,Glenwood MS,Glenelg HS,,34,4,3,3,4,4,1,3,0,4,1,2,4,1,15,7,8,15,9,8,14,10,10,13,10,10,12,10,11,13,10,11,12,9,11,12,9,12,12,9,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,4,3,4,3,3,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,9,12,3,12,9,12,3,12,10,12,3,12,10,12,3,12,9,12,3,12,9,12,
,248,Lisbon ES,Glenwood MS,Glenelg HS,,45,5,3,4,5,3,4,5,1,2,5,2,1,5,19,8,13,19,11,12,18,12,13,17,13,14,16,13,14,16,13,15,16,12,15,16,12,15,16,12,15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,5,4,5,4,4,4,4,15,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,21,12,15,6,23,13,15,6,23,14,16,6,23,14,16,6,23,14,16,6,23,14,16,
,249,Lisbon ES,Glenwood MS,Glenelg HS,,49,4,2,3,6,3,3,3,10,1,3,4,3,4,17,14,14,17,13,15,18,13,17,17,14,17,16,13,17,16,13,17,15,12,17,15,12,17,18,12,17,0,4,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,18,12,17,4,18,13,17,4,18,13,17,4,18,13,17,4,18,13,17,4,17,13,17,
,250,Lisbon ES,Glenwood MS,Glenelg HS,,26,1,2,2,4,4,3,2,2,3,1,2,0,0,15,7,3,15,9,6,14,10,8,14,10,9,13,10,10,13,10,10,13,10,11,13,10,11,13,9,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,9,11,2,16,10,11,2,16,10,12,2,16,11,12,2,16,11,12,2,16,11,12,
,256,Fulton ES,Lime Kiln MS,Reservoir HS,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,21,1,1,35,3,2,35,6,2,36,8,3,0,0,0,6,17,17,0,0,0,0,0,13,33,34,0,0,0,0,0,6,17,17,0,0,0,0,0,0,1,3,5,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,34,10,4,4,32,11,5,4,31,13,5,4,30,13,7,4,29,14,7,4,28,14,8,
,259,Fulton ES,Lime Kiln MS,Reservoir HS,,236,12,15,18,17,24,19,18,24,30,15,17,11,16,95,73,58,98,64,75,102,65,80,103,65,82,108,66,86,111,67,88,109,71,90,110,71,91,111,72,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,11,10,13,13,12,12,11,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,105,72,94,10,101,74,93,10,97,76,94,9,94,74,97,9,90,72,97,10,88,71,98,
,260,Bollman Bridge ES,Patuxent Valley MS,Reservoir HS,,171,9,16,14,17,14,15,13,9,7,15,13,13,16,76,29,55,82,37,49,78,43,50,79,43,53,81,45,55,83,43,57,84,42,58,86,43,59,85,44,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,11,11,11,11,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,82,46,59,11,81,46,59,11,80,47,60,11,80,46,61,11,80,48,61,11,81,47,62,
,261,Jeffers Hill ES,Bonnie Branch MS,Howard HS,,42,1,2,3,5,4,4,1,4,2,4,3,3,6,18,7,16,18,10,14,18,11,14,18,11,15,17,11,15,18,11,15,17,11,15,17,11,15,17,11,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18,11,16,1,18,11,16,1,18,11,16,1,18,12,16,1,19,12,16,1,19,12,16,
,262,Hollifield Station ES,Patapsco MS,Mt Hebron HS,,71,7,7,5,7,7,5,3,4,5,6,4,6,5,31,12,21,32,17,19,33,18,20,32,18,21,32,18,22,32,19,22,30,20,23,30,20,24,30,20,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,5,6,6,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,30,20,25,5,29,20,26,5,29,20,26,6,30,20,26,6,31,20,26,6,31,20,26,
,263,Fulton ES,Lime Kiln MS,Reservoir HS,,28,1,0,1,1,2,2,1,3,2,3,4,5,3,6,6,15,6,5,12,7,4,11,7,5,10,7,5,9,7,5,9,7,5,9,7,5,9,7,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,5,8,1,6,5,8,1,6,5,8,1,6,5,8,1,6,5,8,1,6,5,8,
